Name, Team, Matches, Innings, Balls, Maidens, Runs, Wickets, Avg, Fours, Sixes, FiveFor, TenFor, BBI, BBM
RD Jackman, Zimbabwe-Rhodesia; DH Robins' XI; England Under-25s; Western Province; Rhodesia; Surrey; England; England XI; Marylebone Cricket Club, 6, 12, 1175, 54, 545, 32, 17.03, 0, 0, 2, 0, 5/39, 7/90
SC Kerrigan, Northamptonshire; England Lions; Lancashire; Marylebone Cricket Club; England, 10, 16, 2037, 71, 928, 32, 29, 0, 0, 2, 0, 7/63, 8/142
JH King, Leicestershire; GJV Weigall's XI; J Bamford's XI; AJ Webbe's XI; England; Marylebone Cricket Club; North; England XI; Players, 16, 19, 1780, 86, 639, 32, 19.96, 0, 0, 2, 0, 5/35, 8/81
J Langridge, Auckland; England XI; Over 30; South; Players; Sussex; The Rest; England; Marylebone Cricket Club; HDG Leveson-Gower's XI; Over 33; Over 32; The Rest; Lord Tennyson's XI, 7, 8, 1150, 61, 367, 32, 11.46, 0, 0, 5, 1, 8/43, 13/65
EA McDonald, Victoria; Tasmania; North; Lancashire; Australia; Australians; The Rest; Australian XI; Players; Sir L Parkinson's XI, 4, 7, 1085, 52, 442, 32, 13.81, 0, 0, 3, 2, 8/73, 12/129
GK Berg, Northamptonshire; Middlesex; Hampshire, 10, 19, 1480, 49, 826, 31, 26.64, 0, 0, 2, 0, 5/18, 9/90
WH Copson, Derbyshire; The Rest; Marylebone Cricket Club; England; North; Players; Marylebone Cricket Club Australian Touring Team, 7, 12, 1214, 56, 430, 31, 13.87, 0, 0, 3, 0, 6/24, 9/96
A Fielder, Kent and Yorkshire; JR Mason's XI; England; Marylebone Cricket Club; Kent; Players; Players of the South; South, 6, 10, 978, 43, 389, 31, 12.54, 0, 0, 3, 1, 7/24, 12/76
FR Foster, The Rest; Gentlemen; England; Marylebone Cricket Club; Marylebone Cricket Club Australian Touring Team; Warwickshire; Lord Londesborough's XI, 6, 11, 1244, 54, 517, 31, 16.67, 0, 0, 3, 1, 6/63, 11/81
G Miller, The Rest; Marylebone Cricket Club; Derbyshire; England XI; England; Essex; Natal, 8, 14, 1416, 83, 514, 31, 16.58, 0, 0, 2, 1, 7/58, 11/83
MJ Procter, Gloucestershire; The Rest; Rhodesia; Orange Free State; South African XI; South; Western Province; Natal; South Africa; South African Invitation XI; South African Games XI; Rest of the World XI; Invitation Section A XI, 9, 17, 1591, 70, 662, 31, 21.35, 0, 0, 3, 1, 6/71, 11/117
JS Savage, Marylebone Cricket Club; Players; Lancashire; England XI; TN Pearce's XI; Leicestershire, 5, 10, 1344, 83, 514, 31, 16.58, 0, 0, 3, 1, 8/62, 14/99
KD Boyce, West Indians; TN Pearce's XI; Commonwealth XI; West Indies; Essex; Barbados; Marylebone Cricket Club; West Indies Board President's XI; Rest of the World XI, 9, 17, 1542, 53, 688, 30, 22.93, 0, 0, 2, 0, 7/36, 9/137
AS Kennedy, Marylebone Cricket Club South African Touring Team; LH Tennyson's XI; LG Robinson's XI; SB Joel's XI; HDG Leveson-Gower's XI; East; CI Thornton's XI; Hampshire; The Rest; England; Marylebone Cricket Club; South; Players, 7, 12, 1145, 67, 334, 30, 11.13, 0, 0, 1, 1, 7/36, 11/63
PI Pocock, Surrey; England XI; England; Marylebone Cricket Club; Marylebone Cricket Club Touring Team; Marylebone Cricket Club Under-25s; Northern Transvaal; Marylebone Cricket Club President's XI; Rest of the World XI; England Under-25s, 11, 17, 1885, 89, 800, 30, 26.66, 0, 0, 0, 0, 4/31, 6/131
DL Underwood, South African Breweries English XI; DH Robins' XI; International Wanderers; Marylebone Cricket Club President's XI; Marylebone Cricket Club Under-25s; England Under-25s; Duke of Norfolk's XI; International Cavaliers; International XI; TN Pearce's XI; England; Marylebone Cricket Club; Kent; England XI, 10, 16, 1970, 138, 728, 30, 24.26, 0, 0, 3, 0, 5/9, 6/13
JH Wardle, TN Pearce's XI; HDG Leveson-Gower's XI; North; England; Players; Marylebone Cricket Club; Yorkshire; England XI; The Rest; Bombay Cricket Association President's XI, 7, 14, 1629, 98, 576, 30, 19.2, 0, 0, 1, 0, 5/108, 7/115
DJ Wild, Northamptonshire, 52, 47, 2687, 94, 1478, 30, 49.26, 0, 0, 0, 0, 3/50, 5/87
HJ Butler, Services XI; Marylebone Cricket Club; Players; Nottinghamshire; North; The Rest; England, 8, 10, 1286, 40, 572, 29, 19.72, 0, 0, 0, 0, 4/22, 7/58
RE East, The Rest; Marylebone Cricket Club; Essex; DH Robins' XI; Cricket Association of Bengal Overseas XI, 15, 26, 2728, 125, 1081, 29, 37.27, 0, 0, 2, 0, 8/41, 9/112
P Lever, Marylebone Cricket Club; England; Tasmania; Lancashire; Minor Counties, 6, 11, 1121, 42, 554, 29, 19.1, 0, 0, 3, 1, 5/38, 10/118
J Mercer, Sussex; Players; South; Marylebone Cricket Club; Sir J Cahn's XI; Glamorgan; Wales; CI Thornton's XI; Northamptonshire; HDG Leveson-Gower's XI, 8, 14, 1880, 90, 731, 29, 25.2, 0, 0, 3, 0, 6/47, 8/147
OH Mortensen, Derbyshire, 6, 9, 1020, 38, 469, 29, 16.17, 0, 0, 3, 0, 6/40, 8/128
AR Roberts, Wellington; Northamptonshire, 16, 28, 2697, 101, 1320, 29, 45.51, 0, 0, 0, 0, 3/51, 6/134
PJ Sainsbury, Hampshire; Marylebone Cricket Club; Players; Combined Services; TN Pearce's XI; International Wanderers, 13, 22, 2167, 161, 717, 29, 24.72, 0, 0, 0, 0, 4/70, 6/100
EF Towell, Northamptonshire, 22, 33, 2302, 83, 991, 29, 34.17, 0, 0, 0, 0, 4/42, 5/50
JA Young, England XI; South; Middlesex; England; Marylebone Cricket Club; Marylebone Cricket Club South African Touring Team; Over 33, 6, 10, 1288, 74, 452, 29, 15.58, 0, 0, 4, 1, 7/25, 12/90
TA Copeland, Northamptonshire; Australia; Australians; New South Wales; Australia A, 5, 9, 1214, 73, 416, 28, 14.85, 0, 0, 2, 0, 7/63, 9/92
RDB Croft, England A; Test and County Cricket Board XI; Glamorgan; England; Marylebone Cricket Club; England XI, 10, 16, 2306, 86, 938, 28, 33.5, 0, 0, 1, 0, 6/138, 7/124
AW Hallam, England XI; Lancashire; Players; North; Nottinghamshire; CI Thornton's XI, 5, 9, 1096, 54, 363, 28, 12.96, 0, 0, 2, 0, 6/42, 9/65
JE McConnon, Marylebone Cricket Club; England; Glamorgan; Commonwealth XI, 7, 13, 1711, 86, 670, 28, 23.92, 0, 0, 1, 1, 6/79, 10/155
WG Quaife, The Rest; England XI; WG Grace's XI; Players; Players of the South; England; North; Midland Counties; Griqualand West; London County; AC MacLaren's XI; HDG Leveson-Gower's XI; Warwickshire; HK Foster's XI; SH Cochrane's XI, 16, 20, 1462, 45, 618, 28, 22.07, 0, 0, 1, 0, 5/31, 6/33
E Robinson, Yorkshire; England XI; HDG Leveson-Gower's XI, 12, 21, 1513, 101, 461, 28, 16.46, 0, 0, 0, 0, 4/25, 6/34
WC Smith, The Rest; Players; Marylebone Cricket Club; Surrey; London County, 6, 12, 912, 32, 339, 28, 12.1, 0, 0, 3, 1, 7/23, 11/47
EAE Baptiste, Kent; Northamptonshire; West Indies; Eastern Province; West Indians; West Indies B; Leeward Islands; Scarborough Festival President's XI; West Indies Board President's XI; KwaZulu-Natal, 9, 13, 1443, 53, 712, 27, 26.37, 0, 0, 2, 0, 7/95, 9/159
DJ Brown, Marylebone Cricket Club President's XI; DH Robins' XI; Marylebone Cricket Club Under-25s; Rest of the World XI; Marylebone Cricket Club; England; Warwickshire; TN Pearce's XI, 9, 15, 1622, 53, 753, 27, 27.88, 0, 0, 0, 0, 4/30, 5/91
JA Flavell, Players; Marylebone Cricket Club; England XI; South; England; Worcestershire, 11, 20, 1750, 47, 869, 27, 32.18, 0, 0, 3, 0, 6/50, 7/94
